,score,year,logger,time_stamp,date
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/2-2-15/20150202_184400.wav,69.46925313157789,2015,10a,4.5,2015-02-02 18:44:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-12-15/20150315_211600.wav,69.28541955006813,2015,10a,149.5,2015-03-15 21:16:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-2-15/20150202_204400.wav,68.37148805334158,2015,6a,196.5,2015-02-02 20:44:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/2-2-15/20150204_204600.wav,67.91557447790684,2015,9a,71.5,2015-02-04 20:46:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/4-9-15/20150412_003400.wav,67.51763594287031,2015,6a,34.0,2015-04-12 00:34:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/7a/3-12-15/20150314_211500.wav,67.43490075293474,2015,7a,161.0,2015-03-14 21:15:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/4-9-15/20150409_233200.wav,66.66691523522331,2015,9a,125.5,2015-04-09 23:32:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-23-15/20150227_000400.wav,66.13962216956118,2015,6a,88.5,2015-02-27 00:04:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-12-15/20150315_221600.wav,65.89586305417924,2015,10a,260.0,2015-03-15 22:16:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/6-4-15/20150607_231000.wav,65.72500230098478,2015,6a,291.0,2015-06-07 23:10:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/2-23-15/20150224_200200.wav,65.68667968109015,2015,9a,105.5,2015-02-24 20:02:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-16-15/20150217_005600.wav,65.60453066859108,2015,6a,213.0,2015-02-17 00:56:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-23-15/20150223_210100.wav,65.44187875756907,2015,6a,7.0,2015-02-23 21:01:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/3-19-15/20150320_231900.wav,64.87535202486593,2015,8a,151.0,2015-03-20 23:19:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/6-4-15/20150606_000900.wav,64.58033363416112,2015,6a,221.0,2015-06-06 00:09:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/3-12-15/20150314_231500.wav,64.50281424023396,2015,6a,105.5,2015-03-14 23:15:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/2-2-15/20150204_194600.wav,64.49291584706123,2015,9a,112.0,2015-02-04 19:46:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/4-16-15/20150420_213900.wav,64.47899013887395,2015,6a,155.0,2015-04-20 21:39:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-16-15/20150217_215700.wav,64.27380966014192,2015,6a,185.0,2015-02-17 21:57:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/3-12-15/20150314_231500.wav,64.02596031835428,2015,8a,0.5,2015-03-14 23:15:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/4-30-15/20150430_224600.wav,63.82389530246376,2015,8a,61.0,2015-04-30 22:46:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/3-19-15/20150320_201900.wav,63.58396679406562,2015,8a,141.5,2015-03-20 20:19:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-19-15/20150322_222000.wav,63.46556718308303,2015,10a,99.5,2015-03-22 22:20:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/2-2-15/20150203_194500.wav,63.40811895298852,2015,10a,173.5,2015-02-03 19:45:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-2-15/20150203_184500.wav,63.07598313300151,2015,6a,45.5,2015-02-03 18:45:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-23-15/20150225_190300.wav,62.60134008343762,2015,6a,22.0,2015-02-25 19:03:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/2-2-15/20150205_184700.wav,62.19437573997688,2015,10a,151.5,2015-02-05 18:47:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/4-30-15/20150502_214800.wav,62.01356471480919,2015,8a,160.0,2015-05-02 21:48:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/4-2-15/20150403_212800.wav,62.00584688595154,2015,10a,177.0,2015-04-03 21:28:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-5-15/20150306_000900.wav,62.00240293988387,2015,10a,273.5,2015-03-06 00:09:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-16-15/20150219_005700.wav,61.90622358184282,2015,6a,131.0,2015-02-19 00:57:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/2-23-15/20150225_210300.wav,61.81007257728174,2015,10a,18.5,2015-02-25 21:03:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-16-15/20150216_185600.wav,61.58479808994861,2015,6a,71.0,2015-02-16 18:56:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/2-23-15/20150223_210100.wav,61.54693835843389,2015,9a,198.5,2015-02-23 21:01:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/7a/6-25-15/20150629_231600.wav,61.14481398429275,2015,7a,152.0,2015-06-29 23:16:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-5-15/20150307_001000.wav,61.10495193788591,2015,10a,139.0,2015-03-07 00:10:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-2-15/20150205_224700.wav,61.037764550249584,2015,6a,286.5,2015-02-05 22:47:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-12-15/20150313_211400.wav,60.88672501432054,2015,10a,71.5,2015-03-13 21:14:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-16-15/20150218_235700.wav,60.84918193095661,2015,6a,155.0,2015-02-18 23:57:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/4-2-15/20150403_222800.wav,60.70036347263069,2015,10a,145.0,2015-04-03 22:28:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/3-5-15/20150305_230900.wav,60.57715320444309,2015,6a,252.0,2015-03-05 23:09:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/7a/6-25-15/20150626_211600.wav,60.52845868953008,2015,7a,79.0,2015-06-26 21:16:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/7a/2-16-15/20150216_225600.wav,60.50697347271842,2015,7a,189.0,2015-02-16 22:56:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/5-14-15/20150516_205700.wav,60.40107757009945,2015,8a,117.0,2015-05-16 20:57:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-12-15/20150316_001600.wav,60.389259583815495,2015,10a,159.0,2015-03-16 00:16:00
