Site,Start Date,Stop Date,Logger,SD Card,Listener,Sample Date,Sample Time,Sample Date Time,Species,NAAMP,File ID,Notes,Error
W46,3/10/2014,3/14/2014,3,3A,GPS,3/10/2014,2217,3/10/2014 22:17,LISPH,1,20140310_221300,,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/10/2014,2217,3/10/2014 22:17,PSNIG,3,20140310_221300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/10/2014,2217,3/10/2014 22:17,LICAP,1,20140310_221300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/10/2014,2217,3/10/2014 22:17,LISPH,3,20140310_221300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/10/2014,2217,3/10/2014 22:17,PSNIG,3,20140310_221300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/10/2014,2217,3/10/2014 22:17,LISPH,1,20140310_221300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/10/2014,2217,3/10/2014 22:17,PSCRU,1,20140310_221300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/10/2014,2217,3/10/2014 22:17,PSNIG,3,20140310_221300,,N
W52,3/10/2014,3/14/2014,1,1A,GPS,3/10/2014,2217,3/10/2014 22:17,LISPH,1,20140310_221300,1:40-2:00= FAINT SHEEP LIKE NOISE? NOT GASTROPHRYNE.,N
W52,3/10/2014,3/14/2014,1,1A,GPS,3/10/2014,2217,3/10/2014 22:17,PSCRU,2,20140310_221300,1:40-2:00= FAINT SHEEP LIKE NOISE? NOT GASTROPHRYNE.,N
W26,3/10/2014,3/14/2014,7,7A,DK,3/10/2014,2017,3/10/2014 20:17,PSNIG,2,20140310_201300,,N
W32,3/10/2014,3/14/2014,8,8A,DK,3/10/2014,2017,3/10/2014 20:17,LISPH,1,20140310_201300,,N
W32,3/10/2014,3/14/2014,8,8A,DK,3/10/2014,2017,3/10/2014 20:17,PSNIG,2,20140310_201300,,N
W35,3/10/2014,3/14/2014,9,9A,GS,3/10/2014,2017,3/10/2014 20:17,HYGRA,1,20140310_201300,,N
W35,3/10/2014,3/14/2014,9,9A,GS,3/10/2014,2017,3/10/2014 20:17,LISPH,1,20140310_201300,,N
W35,3/10/2014,3/14/2014,9,9A,GS,3/10/2014,2017,3/10/2014 20:17,PSNIG,3,20140310_201300,,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/10/2014,2017,3/10/2014 20:17,HYGRA,3,20140310_201300,,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/10/2014,2017,3/10/2014 20:17,LICAP,1,20140310_201300,,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/10/2014,2017,3/10/2014 20:17,LISPH,1,20140310_201300,,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/10/2014,2017,3/10/2014 20:17,PSNIG,3,20140310_201300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/10/2014,2017,3/10/2014 20:17,HYGRA,1,20140310_201300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/10/2014,2017,3/10/2014 20:17,LICAP,1,20140310_201300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/10/2014,2017,3/10/2014 20:17,LISPH,3,20140310_201300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/10/2014,2017,3/10/2014 20:17,PSFER,3,20140310_201300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/10/2014,2017,3/10/2014 20:17,PSNIG,3,20140310_201300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/10/2014,2017,3/10/2014 20:17,PSORN,1,20140310_201300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/10/2014,2017,3/10/2014 20:17,LISPH,1,20140310_201300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/10/2014,2017,3/10/2014 20:17,PSCRU,3,20140310_201300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/10/2014,2017,3/10/2014 20:17,PSNIG,3,20140310_201300,,N
W52,3/10/2014,3/14/2014,1,1A,GPS,3/10/2014,2017,3/10/2014 20:17,LISPH,1,20140310_201300,3:20-GOPHER FROGISH NOISE,N
W52,3/10/2014,3/14/2014,1,1A,GPS,3/10/2014,2017,3/10/2014 20:17,PSCRU,2,20140310_201300,3:20-GOPHER FROGISH NOISE,N
W52,3/10/2014,3/14/2014,1,1A,GPS,3/10/2014,2017,3/10/2014 20:17,PSNIG,2,20140310_201300,3:20-GOPHER FROGISH NOISE,N
W58,3/10/2014,3/14/2014,10,10A,DK,3/10/2014,2017,3/10/2014 20:17,LISPH,1,20140310_201300,,N
W58,3/10/2014,3/14/2014,10,10A,DK,3/10/2014,2017,3/10/2014 20:17,PSCRU,2,20140310_201300,,N
W58,3/10/2014,3/14/2014,10,10A,DK,3/10/2014,2017,3/10/2014 20:17,PSFER,1,20140310_201300,,N
W58,3/10/2014,3/14/2014,10,10A,DK,3/10/2014,2017,3/10/2014 20:17,PSNIG,2,20140310_201300,,N
W68,3/10/2014,3/14/2014,2,2A,GPS,3/10/2014,2017,3/10/2014 20:17,PSCRU,1,20140310_201300,SOMETHING WEIRD @ ~4:05-4:20,N
W26,3/10/2014,3/14/2014,7,7A,DK,3/10/2014,2317,3/10/2014 23:17,LISPH,1,20140310_231300,,N
W26,3/10/2014,3/14/2014,7,7A,DK,3/10/2014,2317,3/10/2014 23:17,PSNIG,2,20140310_231300,,N
W32,3/10/2014,3/14/2014,8,8A,DK,3/10/2014,2317,3/10/2014 23:17,LISPH,1,20140310_231300,,N
W32,3/10/2014,3/14/2014,8,8A,DK,3/10/2014,2317,3/10/2014 23:17,PSFER,1,20140310_231300,,N
W32,3/10/2014,3/14/2014,8,8A,DK,3/10/2014,2317,3/10/2014 23:17,PSNIG,2,20140310_231300,,N
W35,3/10/2014,3/14/2014,9,9A,GS,3/10/2014,2317,3/10/2014 23:17,LISPH,3,20140310_231300,,N
W35,3/10/2014,3/14/2014,9,9A,GS,3/10/2014,2317,3/10/2014 23:17,PSNIG,3,20140310_231300,,N
W35,3/10/2014,3/14/2014,9,9A,GS,3/10/2014,2317,3/10/2014 23:17,PSORN,2,20140310_231300,FAINT,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/10/2014,2317,3/10/2014 23:17,LICAP,1,20140310_231300,,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/10/2014,2317,3/10/2014 23:17,LISPH,3,20140310_231300,,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/10/2014,2317,3/10/2014 23:17,PSNIG,3,20140310_231300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/10/2014,2317,3/10/2014 23:17,LICAP,1,20140310_231300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/10/2014,2317,3/10/2014 23:17,LISPH,3,20140310_231300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/10/2014,2317,3/10/2014 23:17,PSCRU,1,20140310_231300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/10/2014,2317,3/10/2014 23:17,PSNIG,3,20140310_231300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/10/2014,2317,3/10/2014 23:17,LICAT,1,20140310_231300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/10/2014,2317,3/10/2014 23:17,LISPH,2,20140310_231300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/10/2014,2317,3/10/2014 23:17,PSCRU,2,20140310_231300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/10/2014,2317,3/10/2014 23:17,PSNIG,3,20140310_231300,,N
W52,3/10/2014,3/14/2014,1,1A,GPS,3/10/2014,2317,3/10/2014 23:17,LISPH,2,20140310_231300,,N
W52,3/10/2014,3/14/2014,1,1A,GPS,3/10/2014,2317,3/10/2014 23:17,PSCRU,2,20140310_231300,,N
W52,3/10/2014,3/14/2014,1,1A,GPS,3/10/2014,2317,3/10/2014 23:17,PSNIG,2,20140310_231300,,N
W58,3/10/2014,3/14/2014,10,10A,DK,3/10/2014,2317,3/10/2014 23:17,LISPH,1,20140310_231300,,N
W58,3/10/2014,3/14/2014,10,10A,DK,3/10/2014,2317,3/10/2014 23:17,PSCRU,2,20140310_231300,,N
W58,3/10/2014,3/14/2014,10,10A,DK,3/10/2014,2317,3/10/2014 23:17,PSFER,1,20140310_231300,,N
W58,3/10/2014,3/14/2014,10,10A,DK,3/10/2014,2317,3/10/2014 23:17,PSNIG,1,20140310_231300,,N
W26,3/10/2014,3/14/2014,7,7A,DK,3/10/2014,2217,3/10/2014 22:17,LISPH,1,20140310_221300,,N
W26,3/10/2014,3/14/2014,7,7A,DK,3/10/2014,2217,3/10/2014 22:17,PSCRU,1,20140310_221300,,N
W26,3/10/2014,3/14/2014,7,7A,DK,3/10/2014,2217,3/10/2014 22:17,PSNIG,2,20140310_221300,,N
W32,3/10/2014,3/14/2014,8,8A,DK,3/10/2014,2217,3/10/2014 22:17,LISPH,1,20140310_221300,,N
W32,3/10/2014,3/14/2014,8,8A,DK,3/10/2014,2217,3/10/2014 22:17,PSFER,1,20140310_221300,,N
W32,3/10/2014,3/14/2014,8,8A,DK,3/10/2014,2217,3/10/2014 22:17,PSNIG,2,20140310_221300,,N
W35,3/10/2014,3/14/2014,9,9A,GS,3/10/2014,2217,3/10/2014 22:17,LISPH,2,20140310_221300,,N
W35,3/10/2014,3/14/2014,9,9A,GS,3/10/2014,2217,3/10/2014 22:17,PSNIG,3,20140310_221300,,N
W35,3/10/2014,3/14/2014,9,9A,GS,3/10/2014,2217,3/10/2014 22:17,PSORN,2,20140310_221300,FAINT,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/10/2014,2217,3/10/2014 22:17,HYGRA,2,20140310_221300,,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/10/2014,2217,3/10/2014 22:17,LICAP,1,20140310_221300,,N
W68,3/10/2014,3/14/2014,2,2A,GPS,3/10/2014,2017,3/10/2014 20:17,PSFER,1,20140310_201300,SOMETHING WEIRD @ ~4:05-4:20,N
W68,3/10/2014,3/14/2014,2,2A,GPS,3/10/2014,2017,3/10/2014 20:17,PSNIG,2,20140310_201300,SOMETHING WEIRD @ ~4:05-4:20,N
W26,3/10/2014,3/14/2014,7,7A,DK,3/10/2014,1917,3/10/2014 19:17,LICAT,1,20140310_191300,,N
W26,3/10/2014,3/14/2014,7,7A,DK,3/10/2014,1917,3/10/2014 19:17,LISPH,1,20140310_191300,,N
W26,3/10/2014,3/14/2014,7,7A,DK,3/10/2014,1917,3/10/2014 19:17,PSNIG,2,20140310_191300,,N
W32,3/10/2014,3/14/2014,8,8A,DK,3/10/2014,1917,3/10/2014 19:17,LISPH,1,20140310_191300,,N
W32,3/10/2014,3/14/2014,8,8A,DK,3/10/2014,1917,3/10/2014 19:17,PSNIG,2,20140310_191300,,N
W35,3/10/2014,3/14/2014,9,9A,GS,3/10/2014,1917,3/10/2014 19:17,LISPH,1,20140310_191300,VERY FAINT DROWNED OUT,N
W35,3/10/2014,3/14/2014,9,9A,GS,3/10/2014,1917,3/10/2014 19:17,PSNIG,3,20140310_191300,,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/10/2014,1917,3/10/2014 19:17,LICAP,1,20140310_191300,,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/10/2014,1917,3/10/2014 19:17,LISPH,1,20140310_191300,,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/10/2014,1917,3/10/2014 19:17,PSNIG,3,20140310_191300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/10/2014,1917,3/10/2014 19:17,LICAP,1,20140310_191300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/10/2014,1917,3/10/2014 19:17,LISPH,3,20140310_191300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/10/2014,1917,3/10/2014 19:17,PSFER,3,20140310_191300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/10/2014,1917,3/10/2014 19:17,PSNIG,3,20140310_191300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/10/2014,1917,3/10/2014 19:17,LISPH,1,20140310_191300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/10/2014,1917,3/10/2014 19:17,PSCRU,3,20140310_191300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/10/2014,1917,3/10/2014 19:17,PSNIG,3,20140310_191300,,N
W52,3/10/2014,3/14/2014,1,1A,GPS,3/10/2014,1917,3/10/2014 19:17,LISPH,1,20140310_191300,,N
W52,3/10/2014,3/14/2014,1,1A,GPS,3/10/2014,1917,3/10/2014 19:17,PSCRU,2,20140310_191300,,N
W52,3/10/2014,3/14/2014,1,1A,GPS,3/10/2014,1917,3/10/2014 19:17,PSNIG,2,20140310_191300,,N
W58,3/10/2014,3/14/2014,10,10A,DK,3/10/2014,1917,3/10/2014 19:17,PSCRU,2,20140310_191300,,N
W58,3/10/2014,3/14/2014,10,10A,DK,3/10/2014,1917,3/10/2014 19:17,PSFER,2,20140310_191300,,N
W58,3/10/2014,3/14/2014,10,10A,DK,3/10/2014,1917,3/10/2014 19:17,PSNIG,2,20140310_191300,,N
W58,3/10/2014,3/14/2014,10,10A,DK,3/10/2014,1917,3/10/2014 19:17,PSORN,1,20140310_191300,,N
W68,3/10/2014,3/14/2014,2,2A,GPS,3/10/2014,1917,3/10/2014 19:17,PSNIG,2,20140310_191300,,N
W52,3/10/2014,3/14/2014,1,1A,GPS,3/10/2014,2217,3/10/2014 22:17,PSNIG,2,20140310_221300,1:40-2:00= FAINT SHEEP LIKE NOISE? NOT GASTROPHRYNE.,N
W58,3/10/2014,3/14/2014,10,10A,DK,3/10/2014,2217,3/10/2014 22:17,LISPH,1,20140310_221300,,N
W58,3/10/2014,3/14/2014,10,10A,DK,3/10/2014,2217,3/10/2014 22:17,PSCRU,1,20140310_221300,STRANGE CALL AT 4:02,N
W58,3/10/2014,3/14/2014,10,10A,DK,3/10/2014,2217,3/10/2014 22:17,PSFER,1,20140310_221300,STRANGE CALL AT 4:02,N
W58,3/10/2014,3/14/2014,10,10A,DK,3/10/2014,2217,3/10/2014 22:17,PSNIG,1,20140310_221300,STRANGE CALL AT 4:02,N
W68,3/10/2014,3/14/2014,2,2A,GPS,3/10/2014,2217,3/10/2014 22:17,PSCRU,1,20140310_221300,,N
W26,3/10/2014,3/14/2014,7,7A,DK,3/10/2014,2117,3/10/2014 21:17,LIGRY,1,20140310_211300,,N
W26,3/10/2014,3/14/2014,7,7A,DK,3/10/2014,2117,3/10/2014 21:17,LISPH,2,20140310_211300,,N
W26,3/10/2014,3/14/2014,7,7A,DK,3/10/2014,2117,3/10/2014 21:17,PSNIG,2,20140310_211300,,N
W32,3/10/2014,3/14/2014,8,8A,DK,3/10/2014,2117,3/10/2014 21:17,LISPH,1,20140310_211300,,N
W32,3/10/2014,3/14/2014,8,8A,DK,3/10/2014,2117,3/10/2014 21:17,PSFER,1,20140310_211300,,N
W32,3/10/2014,3/14/2014,8,8A,DK,3/10/2014,2117,3/10/2014 21:17,PSNIG,2,20140310_211300,,N
W35,3/10/2014,3/14/2014,9,9A,GS,3/10/2014,2117,3/10/2014 21:17,HYGRA,1,20140310_211300,,N
W35,3/10/2014,3/14/2014,9,9A,GS,3/10/2014,2117,3/10/2014 21:17,LISPH,2,20140310_211300,FAINT,N
W35,3/10/2014,3/14/2014,9,9A,GS,3/10/2014,2117,3/10/2014 21:17,PSNIG,3,20140310_211300,,N
W35,3/10/2014,3/14/2014,9,9A,GS,3/10/2014,2117,3/10/2014 21:17,PSORN,2,20140310_211300,FAINT,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/10/2014,2117,3/10/2014 21:17,HYGRA,2,20140310_211300,,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/10/2014,2117,3/10/2014 21:17,LICAP,1,20140310_211300,,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/10/2014,2117,3/10/2014 21:17,LISPH,1,20140310_211300,,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/10/2014,2117,3/10/2014 21:17,PSNIG,3,20140310_211300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/10/2014,2117,3/10/2014 21:17,LICAP,1,20140310_211300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/10/2014,2117,3/10/2014 21:17,LISPH,3,20140310_211300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/10/2014,2117,3/10/2014 21:17,PSNIG,3,20140310_211300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/10/2014,2117,3/10/2014 21:17,PSORN,1,20140310_211300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/10/2014,2117,3/10/2014 21:17,LISPH,1,20140310_211300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/10/2014,2117,3/10/2014 21:17,PSCRU,1,20140310_211300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/10/2014,2117,3/10/2014 21:17,PSNIG,3,20140310_211300,,N
W52,3/10/2014,3/14/2014,1,1A,GPS,3/10/2014,2117,3/10/2014 21:17,LISPH,1,20140310_211300,,N
W52,3/10/2014,3/14/2014,1,1A,GPS,3/10/2014,2117,3/10/2014 21:17,PSCRU,2,20140310_211300,,N
W52,3/10/2014,3/14/2014,1,1A,GPS,3/10/2014,2117,3/10/2014 21:17,PSNIG,2,20140310_211300,,N
W58,3/10/2014,3/14/2014,10,10A,DK,3/10/2014,2117,3/10/2014 21:17,LISPH,1,20140310_211300,,N
W58,3/10/2014,3/14/2014,10,10A,DK,3/10/2014,2117,3/10/2014 21:17,PSCRU,2,20140310_211300,,N
W58,3/10/2014,3/14/2014,10,10A,DK,3/10/2014,2117,3/10/2014 21:17,PSNIG,1,20140310_211300,,N
W68,3/10/2014,3/14/2014,2,2A,GPS,3/10/2014,2117,3/10/2014 21:17,PSCRU,1,20140310_211300,? @ 0:08,N
W26,3/10/2014,3/14/2014,7,7A,DK,3/10/2014,2017,3/10/2014 20:17,LICAT,1,20140310_201300,,N
W26,3/10/2014,3/14/2014,7,7A,DK,3/10/2014,2017,3/10/2014 20:17,LIGRY,1,20140310_201300,,N
W26,3/10/2014,3/14/2014,7,7A,DK,3/10/2014,2017,3/10/2014 20:17,LISPH,1,20140310_201300,,N
W32,3/10/2014,3/14/2014,8,8A,DK,3/11/2014,2117,3/11/2014 21:17,PSNIG,1,20140311_211300,,N
W35,3/10/2014,3/14/2014,9,9A,GS,3/11/2014,2117,3/11/2014 21:17,PSNIG,3,20140311_211300,LISPH DISTANT,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/11/2014,2117,3/11/2014 21:17,HYGRA,3,20140311_211300,,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/11/2014,2117,3/11/2014 21:17,LICAP,1,20140311_211300,,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/11/2014,2117,3/11/2014 21:17,LISPH,1,20140311_211300,,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/11/2014,2117,3/11/2014 21:17,PSNIG,3,20140311_211300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/11/2014,2117,3/11/2014 21:17,LICAP,1,20140311_211300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/11/2014,2117,3/11/2014 21:17,LISPH,3,20140311_211300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/11/2014,2117,3/11/2014 21:17,PSCRU,1,20140311_211300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/11/2014,2117,3/11/2014 21:17,PSNIG,3,20140311_211300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/11/2014,2117,3/11/2014 21:17,PSORN,1,20140311_211300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/11/2014,2117,3/11/2014 21:17,LISPH,1,20140311_211300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/11/2014,2117,3/11/2014 21:17,PSCRU,1,20140311_211300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/11/2014,2117,3/11/2014 21:17,PSNIG,3,20140311_211300,,N
W52,3/10/2014,3/14/2014,1,1A,GPS,3/11/2014,2117,3/11/2014 21:17,LISPH,1,20140311_211300,,N
W52,3/10/2014,3/14/2014,1,1A,GPS,3/11/2014,2117,3/11/2014 21:17,PSCRU,2,20140311_211300,,N
W52,3/10/2014,3/14/2014,1,1A,GPS,3/11/2014,2117,3/11/2014 21:17,PSNIG,2,20140311_211300,,N
W26,3/10/2014,3/14/2014,7,7A,DK,3/11/2014,2317,3/11/2014 23:17,LISPH,1,20140311_231300,,N
W26,3/10/2014,3/14/2014,7,7A,DK,3/11/2014,2317,3/11/2014 23:17,PSNIG,2,20140311_231300,,N
W32,3/10/2014,3/14/2014,8,8A,DK,3/11/2014,2317,3/11/2014 23:17,LISPH,1,20140311_231300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/11/2014,1917,3/11/2014 19:17,PSNIG,3,20140311_191300,,N
W52,3/10/2014,3/14/2014,1,1A,GPS,3/11/2014,1917,3/11/2014 19:17,LISPH,1,20140311_191300,,N
W52,3/10/2014,3/14/2014,1,1A,GPS,3/11/2014,1917,3/11/2014 19:17,PSCRU,2,20140311_191300,3 NAAMP?,N
W52,3/10/2014,3/14/2014,1,1A,GPS,3/11/2014,1917,3/11/2014 19:17,PSNIG,2,20140311_191300,3 NAAMP?,N
W58,3/10/2014,3/14/2014,10,10A,DK,3/11/2014,1917,3/11/2014 19:17,LISPH,1,20140311_191300,,N
W58,3/10/2014,3/14/2014,10,10A,DK,3/11/2014,1917,3/11/2014 19:17,PSCRU,2,20140311_191300,,N
W58,3/10/2014,3/14/2014,10,10A,DK,3/11/2014,1917,3/11/2014 19:17,PSFER,2,20140311_191300,,N
W68,3/10/2014,3/14/2014,2,2A,GPS,3/11/2014,1917,3/11/2014 19:17,PSCRU,1,20140311_191300,GREAT HORNED OWL & BARRED OWL,N
W68,3/10/2014,3/14/2014,2,2A,GPS,3/11/2014,1917,3/11/2014 19:17,PSNIG,1,20140311_191300,GREAT HORNED OWL & BARRED OWL,N
W26,3/10/2014,3/14/2014,7,7A,DK,3/11/2014,17,3/11/2014 0:17,LISPH,1,20140311_001300,,N
W26,3/10/2014,3/14/2014,7,7A,DK,3/11/2014,17,3/11/2014 0:17,PSNIG,1,20140311_001300,,N
W32,3/10/2014,3/14/2014,8,8A,DK,3/11/2014,17,3/11/2014 0:17,LISPH,2,20140311_001300,,N
W32,3/10/2014,3/14/2014,8,8A,DK,3/11/2014,17,3/11/2014 0:17,PSFER,2,20140311_001300,,N
W32,3/10/2014,3/14/2014,8,8A,DK,3/11/2014,17,3/11/2014 0:17,PSNIG,2,20140311_001300,,N
W35,3/10/2014,3/14/2014,9,9A,GS,3/11/2014,17,3/11/2014 0:17,LISPH,2,20140311_001300,,N
W35,3/10/2014,3/14/2014,9,9A,GS,3/11/2014,17,3/11/2014 0:17,PSNIG,3,20140311_001300,,N
W35,3/10/2014,3/14/2014,9,9A,GS,3/11/2014,17,3/11/2014 0:17,PSORN,1,20140311_001300,,N
W32,3/10/2014,3/14/2014,8,8A,DK,3/11/2014,2317,3/11/2014 23:17,PSFER,1,20140311_231300,,N
W32,3/10/2014,3/14/2014,8,8A,DK,3/11/2014,2317,3/11/2014 23:17,PSNIG,1,20140311_231300,,N
W35,3/10/2014,3/14/2014,9,9A,GS,3/11/2014,2317,3/11/2014 23:17,PSNIG,3,20140311_231300,LISPH DISTANT,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/11/2014,2317,3/11/2014 23:17,LISPH,1,20140311_231300,,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/11/2014,2317,3/11/2014 23:17,PSNIG,3,20140311_231300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/11/2014,2317,3/11/2014 23:17,ANTER,1,20140311_231300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/11/2014,2317,3/11/2014 23:17,LISPH,2,20140311_231300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/11/2014,2317,3/11/2014 23:17,PSCRU,1,20140311_231300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/11/2014,2317,3/11/2014 23:17,PSNIG,3,20140311_231300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/11/2014,2317,3/11/2014 23:17,PSORN,1,20140311_231300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/11/2014,2317,3/11/2014 23:17,LICAT,1,20140311_231300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/11/2014,2317,3/11/2014 23:17,LISPH,1,20140311_231300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/11/2014,2317,3/11/2014 23:17,PSCRU,2,20140311_231300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/11/2014,2317,3/11/2014 23:17,PSNIG,3,20140311_231300,,N
W52,3/10/2014,3/14/2014,1,1A,GPS,3/11/2014,2317,3/11/2014 23:17,LISPH,1,20140311_231300,RAIN,N
W52,3/10/2014,3/14/2014,1,1A,GPS,3/11/2014,2317,3/11/2014 23:17,PSCRU,2,20140311_231300,RAIN,N
W58,3/10/2014,3/14/2014,10,10A,DK,3/11/2014,2317,3/11/2014 23:17,LISPH,1,20140311_231300,,N
W58,3/10/2014,3/14/2014,10,10A,DK,3/11/2014,2317,3/11/2014 23:17,PSCRU,2,20140311_231300,,N
W58,3/10/2014,3/14/2014,10,10A,DK,3/11/2014,2317,3/11/2014 23:17,PSFER,1,20140311_231300,,N
W26,3/10/2014,3/14/2014,7,7A,DK,3/11/2014,2217,3/11/2014 22:17,LISPH,2,20140311_221300,,N
W26,3/10/2014,3/14/2014,7,7A,DK,3/11/2014,2217,3/11/2014 22:17,PSNIG,2,20140311_221300,,N
W32,3/10/2014,3/14/2014,8,8A,DK,3/11/2014,2217,3/11/2014 22:17,LISPH,1,20140311_221300,,N
W32,3/10/2014,3/14/2014,8,8A,DK,3/11/2014,2217,3/11/2014 22:17,PSFER,1,20140311_221300,,N
W32,3/10/2014,3/14/2014,8,8A,DK,3/11/2014,2217,3/11/2014 22:17,PSNIG,2,20140311_221300,,N
W35,3/10/2014,3/14/2014,9,9A,GS,3/11/2014,2217,3/11/2014 22:17,PSNIG,3,20140311_221300,,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/11/2014,2217,3/11/2014 22:17,HYGRA,3,20140311_221300,0:56 ANTER?,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/11/2014,2217,3/11/2014 22:17,LICAP,1,20140311_221300,0:56 ANTER?,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/11/2014,2217,3/11/2014 22:17,LISPH,1,20140311_221300,0:56 ANTER?,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/11/2014,2217,3/11/2014 22:17,PSNIG,3,20140311_221300,0:56 ANTER?,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/11/2014,2217,3/11/2014 22:17,ANTER,1,20140311_221300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/11/2014,2217,3/11/2014 22:17,LICAP,1,20140311_221300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/11/2014,2217,3/11/2014 22:17,LISPH,3,20140311_221300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/11/2014,2217,3/11/2014 22:17,PSNIG,3,20140311_221300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/11/2014,2217,3/11/2014 22:17,PSORN,1,20140311_221300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/11/2014,2217,3/11/2014 22:17,LISPH,1,20140311_221300,,N
